date;transactions;median_transaction_value;av_transaction_value;market_cap;top_100_percent;active_addresses;tweets;google_trends;coin
01/01/2015;15381;2.02;1132;17663288;43.606;37124;2492;0.32;doge
02/01/2015;16848;1.64;890.343;17712044;43.562;35053;938;0.444;doge
03/01/2015;17149;0.671;791.621;16905553;43.53;50037;null;0.458;doge
04/01/2015;16826;0.847;608.699;15931233;43.468;43997;1026;0.499;doge
05/01/2015;19529;1.592;850.546;15481032;43.138;43413;3590;0.499;doge
06/01/2015;16179;0.983;747.752;15779612;43.375;34771;3531;0.478;doge
07/01/2015;17500;1.136;915.752;16631391;43.405;38589;3298;0.542;doge
08/01/2015;21334;0.922;798.302;16460313;43.364;41007;3088;0.46;doge
09/01/2015;21223;1.566;1009;16269682;43.099;41892;6761;0.503;doge
10/01/2015;18466;1.63;771.215;15869396;43.25;42520;2321;0.301;doge
11/01/2015;16590;0.86;566.564;15503421;43.274;64969;2101;0.572;doge
12/01/2015;17441;0.831;590.589;15185537;42.834;42426;2988;0.626;doge
13/01/2015;16481;0.736;307.349;13782280;43.351;39437;2978;0.523;doge
14/01/2015;16998;0.742;255.426;12157817;43.289;41451;3006;0.643;doge
15/01/2015;19273;0.82;549.816;13313034;43.456;51152;3338;0.498;doge
16/01/2015;26507;5.501;584.999;13544204;43.421;61048;3355;0.551;doge
17/01/2015;36465;6.293;194.317;13219915;43.246;81534;2234;0.41;doge
18/01/2015;27321;2.857;361.497;13314352;43.125;69031;3781;0.443;doge
19/01/2015;39877;1.284;234.758;13441360;43.285;80914;7261;0.473;doge
20/01/2015;25572;0.995;401;13736283;43.051;58910;3702;0.497;doge
21/01/2015;38448;3.824;509.562;14257126;43.195;75684;3502;0.531;doge
22/01/2015;35105;1.664;534.812;14914420;43.191;64416;3018;0.493;doge
23/01/2015;23413;1.229;513.747;14780566;43.068;44867;3002;0.432;doge
24/01/2015;26185;2.712;402.202;15345214;42.988;41834;7606;0.479;doge
25/01/2015;43677;1.962;328.073;15716104;43.049;94470;2248;0.515;doge
26/01/2015;29722;1.766;742.497;16275076;43.077;55339;3147;0.482;doge
27/01/2015;26608;0.805;514.753;15011256;43.158;54197;2990;0.312;doge
28/01/2015;30739;2.274;582.803;14250500;43.172;56021;2965;0.505;doge
29/01/2015;28569;2.331;698.997;13613809;43.357;52058;3205;0.458;doge
30/01/2015;28589;1.908;565.008;13696332;43.34;44971;2960;0.261;doge
31/01/2015;33167;2.451;624.478;13805006;43.251;66905;2056;0.394;doge
01/02/2015;22990;1.402;645.785;13385419;43.168;55646;2381;0.439;doge
02/02/2015;21157;0.598;340.692;13753954;43.323;42581;7300;0.377;doge
03/02/2015;21513;0.989;396.052;14355139;43.259;46158;3308;0.319;doge
04/02/2015;23623;1.118;368.278;14035692;43.11;48485;3043;0.475;doge
05/02/2015;24876;0.909;312.248;13918713;44.845;53976;7085;0.32;doge
06/02/2015;19854;0.549;91.885;13734209;44.746;35274;3075;0.528;doge
07/02/2015;20189;0.673;91.215;14098933;44.699;35457;2624;0.385;doge
08/02/2015;21565;0.403;104.626;13870032;44.653;74591;3634;0.503;doge
09/02/2015;21740;0.291;65.428;13598089;44.665;43441;3157;0.389;doge
10/02/2015;22672;0.898;35.22;13459906;44.711;34912;2966;0.374;doge
11/02/2015;19903;0.828;91.7;13557731;44.686;34191;2969;0.348;doge
12/02/2015;21365;0.6;82.202;13516889;44.708;33886;3843;0.316;doge
13/02/2015;24173;0.88;101.862;13834152;44.738;36421;2979;0.338;doge
14/02/2015;24865;0.726;103.179;14052849;44.713;42730;2468;0.483;doge
15/02/2015;25772;0.651;166.248;14382835;44.691;72947;null;0.394;doge
16/02/2015;23368;0.533;159.706;13848268;44.655;38194;4036;0.423;doge
17/02/2015;23545;0.651;138.963;14077661;44.508;38103;2883;0.416;doge
18/02/2015;23771;0.569;165.119;13856229;44.531;37331;3085;0.448;doge
19/02/2015;23921;0.727;151.667;13918559;44.57;36396;2919;0.455;doge
20/02/2015;24601;0.697;220.536;13827449;44.508;36839;3184;0.41;doge
21/02/2015;25283;0.795;245.406;13775446;44.478;55636;2288;0.378;doge
22/02/2015;27863;0.636;290.097;13741454;44.204;56557;2416;0.427;doge
23/02/2015;41127;3.499;207.616;13400120;44.22;57373;3340;0.374;doge
24/02/2015;54484;33.721;138.54;13484444;44.181;70725;3245;0.501;doge
25/02/2015;49480;86.587;132.974;13599533;44.199;66304;3399;0.363;doge
26/02/2015;50705;78.689;110.105;13447304;44.093;64488;3254;0.268;doge
27/02/2015;49960;74.416;119.639;13881325;44.059;69859;3144;0.356;doge
28/02/2015;45844;59.89;133.201;13698265;43.986;82013;2130;0.365;doge
01/03/2015;44805;16.402;159.053;13623174;44.006;80676;2114;0.398;doge
02/03/2015;52398;56.384;187.842;13748946;44.027;70773;2812;0.312;doge
03/03/2015;48113;49.463;163.812;13620326;44.046;67952;4273;0.385;doge
04/03/2015;46995;37.169;158.063;13829274;44.1;57417;2533;0.34;doge
05/03/2015;55395;37.118;134.208;13515240;44.217;63618;2617;0.354;doge
06/03/2015;55012;29.305;120.367;13631486;44.288;73883;2636;0.364;doge
07/03/2015;43745;5.717;144.499;13733329;44.317;77175;2032;0.418;doge
08/03/2015;51325;4.389;112.19;13589852;44.346;83951;1738;0.366;doge
09/03/2015;55118;1.98;60.859;13676245;44.336;74529;2444;0.397;doge
10/03/2015;37484;0.185;203.975;13697734;44.213;54827;2821;0.448;doge
11/03/2015;38204;1.751;179.148;13871433;44.234;58314;2591;0.304;doge
12/03/2015;43977;4.262;104.991;14131477;44.034;56472;2747;0.444;doge
13/03/2015;50710;2.12;102.033;13914540;43.702;70205;3790;0.313;doge
14/03/2015;42212;0.222;107.06;13707907;43.783;71566;1834;0.363;doge
15/03/2015;34862;0.125;213.843;13693928;43.622;64676;1397;0.326;doge
16/03/2015;34698;0.223;270.786;14012188;43.449;51480;1922;0.314;doge
17/03/2015;31275;0.251;237.604;13929975;43.355;48251;2015;0.302;doge
