date,transactions,median_transaction_value,av_transaction_value,market_cap,top_100_percent,active_addresses,tweets
01/01/2015,2848,34.688,1354,95560519,56.039,7184,593
02/01/2015,3195,7.705,1435,94080617,56.214,8791,395
03/01/2015,5201,35.206,5561,81253226,56.202,11315,348
04/01/2015,4937,20.644,4990,71991337,56.308,9859,301
05/01/2015,4530,27.534,1846,73584358,56.378,10514,613
06/01/2015,4196,33.292,1964,74117499,56.122,10420,1538
07/01/2015,4334,46.711,1734,75417967,55.786,11235,2125
08/01/2015,5235,26.502,1939,72913727,55.678,12011,1477
09/01/2015,4360,19.176,1312,70362612,55.694,10855,2967
10/01/2015,6204,55.339,11004,62356576,55.758,12355,3071
11/01/2015,5734,30.122,1699,62940216,55.776,11882,1298
12/01/2015,4355,9.267,2251,60932007,55.26,11087,456
13/01/2015,5706,12.83,2200,55438489,54.852,12941,460
14/01/2015,5465,64.829,7691,46104999,54.335,12294,418
15/01/2015,4395,32.836,5225,45568037,53.841,10736,413
16/01/2015,4708,16.015,2669,48819076,54.247,10959,382
17/01/2015,6269,10.871,724.646,46747836,54.218,10150,541
18/01/2015,5511,13.408,664.735,46940202,54.281,10043,434
19/01/2015,5351,17.705,617.526,47442420,54.499,10709,764
20/01/2015,5487,37.5,672.516,46857376,54.435,10950,578
21/01/2015,5055,67.356,1165,47820664,54.604,9951,702
22/01/2015,4692,43.273,830.088,50217325,54.477,9709,537
23/01/2015,3433,14.199,1321,50093601,54.259,8578,619
24/01/2015,4751,55.094,2162,60003253,54.504,10071,551
25/01/2015,6468,60.725,2701,75859003,54.287,12560,736
26/01/2015,5929,100.298,8109,77811450,54.078,10603,715
27/01/2015,7047,9.32,1946,70852141,55.218,11259,572
28/01/2015,7703,4.396,628.326,68055221,54.939,9217,574
29/01/2015,4369,35.854,1901,66534132,55.11,12499,788
30/01/2015,5785,90.249,806.823,67696205,55.134,13580,588
31/01/2015,5827,62.995,858.517,67644828,55.232,20573,494
01/02/2015,4150,26.241,1267,63105563,55.289,23856,689
02/02/2015,11732,176.399,1684,63667239,55.15,20507,574
03/02/2015,4349,9.193,900.636,66443180,55.18,11796,761
04/02/2015,3543,13.323,1138,64238238,55.259,23673,678
05/02/2015,4301,24.758,965.087,63093053,55.109,9412,659
06/02/2015,4776,11.095,504.568,63970349,55.124,10366,676
07/02/2015,13183,0.00178,190.899,64507768,55.103,16727,706
08/02/2015,19857,0.00178,114.956,64385338,55.304,17489,804
09/02/2015,18035,0.00268,298.111,62605851,55.13,17325,782
10/02/2015,8879,0.865,398.495,62857000,54.955,14799,741
11/02/2015,9398,0.865,304.447,62896016,54.833,16431,899
12/02/2015,5586,0.859,329.593,62507079,54.872,12679,609
13/02/2015,7721,0.899,508.154,65457743,54.822,15644,776
14/02/2015,5423,9.304,927.804,67738497,54.936,12843,457
15/02/2015,4909,9.431,1203,68871903,55.067,12857,448
16/02/2015,4261,2.317,440.22,65492997,55.02,13888,537
17/02/2015,3518,3.661,492.258,66527456,54.908,10194,1837
18/02/2015,5333,0.307,366.068,65940483,54.91,11440,695
19/02/2015,5083,1.81,406.681,66225160,54.891,11389,669
20/02/2015,3680,2.095,523.472,66049026,54.799,9839,720
21/02/2015,4363,1.827,333.926,65967489,54.753,8781,613
22/02/2015,3951,8.675,467.085,64427185,54.819,8157,727
23/02/2015,5133,0.831,756.242,64243047,54.846,11428,784
24/02/2015,4880,2.785,628.577,65057144,54.779,11446,772
25/02/2015,5970,3.658,1051,64763944,54.704,11193,785
26/02/2015,5993,4.329,495.317,64472240,54.683,9556,730
27/02/2015,6474,0.206,788.556,66416588,54.554,13745,759
28/02/2015,6445,0.103,530.202,66431272,54.509,14088,593
01/03/2015,6225,0.3,409.143,66472012,54.58,13617,504
02/03/2015,5092,3.086,1049,69255883,54.57,13181,537
03/03/2015,4387,8.538,12268,70446761,53.486,13868,512
04/03/2015,10194,1.924,765.222,71085273,53.339,15902,446
05/03/2015,5777,1.883,836.106,69650461,53.629,14544,611
06/03/2015,3857,4.427,1086,69993869,53.858,11228,937
07/03/2015,4681,2.472,1109,70032618,54.125,22587,415
08/03/2015,4343,4.061,24365,70546748,44.975,11390,393
09/03/2015,4190,4.104,1213,71220798,45.02,11777,458
10/03/2015,4562,8.999,1351,74086009,45.271,12900,462
11/03/2015,4408,6.827,1254,73933165,45.227,14170,579
