"X.studied.variable","Y.studied.variable","Computed.marginal.EPMF.of.X","Computed.marginal.EPMF.of.Y","Chi2","Chi2.p.value","Information.entropy.of.X","Information.entropy.of.Y","Joint.information.entropy.of.X.and.Y","Conditional.information.entropy.of.Y.given.X","Conditional.information.entropy.of.X.given.Y","Mutual.information.of.X.and.Y","Normalized.mutual.information.of.X.and.Y"
"transactions","transactions",2412,2412,6025089.00036684,0,7.77496481610678,7.77496481610678,7.77496481610678,0,0,7.77496481610678,1
"transactions","median_transaction_value",2412,2362,5698553.00023969,0.033497192191381,7.77496481610678,7.7453433869952,7.82364593083465,0.0783025438394698,0.0486811147278749,7.6966622722673,0.991820032116815
"transactions","av_transaction_value",2412,2415,5821004.00031688,0.401556831974542,7.77496481610678,7.77516335395272,7.82364593083465,0.0484825768819334,0.0486811147278749,7.72648223922484,0.993751582669435
"transactions","market_cap",2412,2496,6017592.0004134,0.267922598599072,7.77496481610678,7.82198171191374,7.82364593083465,0.00166421892091223,0.0486811147278749,7.77330059718586,0.996776632159431
"transactions","top_100_percent",2412,2284,5513377.10015708,0.00316133253242767,7.77496481610678,7.6993974256366,7.82364593083465,0.124248505198077,0.0486811147278749,7.6507163109087,0.988836556666613
"transactions","active_addresses",2412,2449,5906136.60035398,0.121672178404694,7.77496481610678,7.78992225161959,7.82364593083465,0.0337236792150586,0.0486811147278749,7.74124113689171,0.994706184196319
"transactions","tweets",2412,1400,3376742.09280227,0.0742685959626812,7.77496481610678,6.96169673872171,7.82309119119434,0.861394452472708,0.0481263750875708,6.91357036363406,0.939713834588787
"median_transaction_value","median_transaction_value",2362,2362,5900139.00030908,0,7.74534338699519,7.7453433869952,7.74534338699519,0,0,7.74534338699519,1
"median_transaction_value","av_transaction_value",2362,2415,5702509.75027352,0.182702439470942,7.74534338699519,7.77516335395272,7.82232706854333,0.0471637145906151,0.0769836815481516,7.69817967240456,0.992002904265663
"median_transaction_value","market_cap",2362,2496,5895974.00037045,0.0620579681444877,7.74534338699519,7.82198171191374,7.82309119119434,0.00110947928060816,0.0777478041991657,7.74423390771457,0.994946492799061
"median_transaction_value","top_100_percent",2362,2284,5405156.51678925,2.52717816018322e-06,7.74534338699519,7.6993974256366,7.82364593083465,0.124248505198077,0.0783025438394698,7.6210948817971,0.986889802432825
"median_transaction_value","active_addresses",2362,2449,5782019.6003112,0.250116569191718,7.74534338699519,7.78992225161959,7.82364593083465,0.0337236792150586,0.0783025438394698,7.71161970778012,0.992792995861107
"median_transaction_value","tweets",2362,1400,3282633.61268173,0.999999999999999,7.74534338699519,6.96169673872171,7.82309119119434,0.861394452472708,0.0777478041991657,6.88394893452247,0.937475121191469
"av_transaction_value","av_transaction_value",2415,2415,6032586.00036563,0,7.77516335395272,7.77516335395272,7.77516335395272,0,0,7.77516335395272,1
"av_transaction_value","market_cap",2415,2496,6030920.00040381,0.0106874945359869,7.77516335395272,7.82198171191374,7.82253645155404,0.000554739640304078,0.0473730976013252,7.77460861431241,0.996931631747647
"av_transaction_value","top_100_percent",2415,2284,5512377.50015517,0.357074474244077,7.77516335395272,7.6993974256366,7.82364593083465,0.124248505198077,0.0484825768819334,7.65091484875464,0.988849591883909
"av_transaction_value","active_addresses",2415,2449,5914258.35034436,0.0819518823482609,7.77516335395272,7.78992225161959,7.82309119119434,0.0331689395747545,0.0479278372416293,7.74199441437796,0.994790274972436
"av_transaction_value","tweets",2415,1400,3406373.16908334,0,7.77516335395272,6.96169673872171,7.82364593083465,0.861949192113012,0.0484825768819334,6.9132141618397,0.939653421343467
"market_cap","market_cap",2496,2496,6235005.00049489,0.00234853830821946,7.82198171191374,7.82198171191374,7.82198171191374,0,0,7.82198171191374,1
"market_cap","top_100_percent",2496,2284,5697720.00021691,0.313993242948303,7.82198171191374,7.6993974256366,7.82364593083465,0.124248505198077,0.00166421892091223,7.69773320671566,0.991918723447877
"market_cap","active_addresses",2496,2449,6110055.0004274,0.25567158198556,7.82198171191374,7.78992225161959,7.82364593083465,0.0337236792150586,0.00166421892091223,7.78825803269868,0.997735378384848
"market_cap","tweets",2496,1400,3490478.2498381,0.5039383181715,7.82198171191374,6.96169673872171,7.82364593083465,0.861949192113012,0.00166421892091223,6.96003251980072,0.94318160104767
"top_100_percent","top_100_percent",2284,2284,5705217.00019547,0,7.69939742563659,7.6993974256366,7.69939742563659,0,0,7.69939742563659,0.999999999999999
"top_100_percent","active_addresses",2284,2449,5610625.68522774,3.40676375998328e-11,7.69939742563659,7.78992225161959,7.8187892476908,0.0288669960712058,0.119391822054225,7.67053042956536,0.99044523467627
"top_100_percent","tweets",2284,1400,3202549.32070564,0.000321656354733801,7.69939742563659,6.96169673872171,7.82309119119434,0.861394452472708,0.123693765557773,6.83800297316386,0.933992451078047
"active_addresses","active_addresses",2449,2449,6117552.00042996,0,7.78992225161959,7.78992225161959,7.78992225161959,0,0,7.78992225161959,1
"active_addresses","tweets",2449,1400,3426290.88942994,0.278209972537436,7.78992225161959,6.96169673872171,7.82309119119434,0.861394452472708,0.0331689395747545,6.92852779914688,0.94084233653878
"tweets","tweets",1400,1400,3496100.9999605,0,6.96169673872178,6.96169673872171,6.96169673872178,0,0,6.96169673872178,1
